,Monocytes,Bcells,CD4Tcells,NK,CD8Tcells,Neutrophils,MEP,Endothelial,Astrocytes,Neuron,Oligodendrocytes,Microglia,Fibroblast,GBM
cg25729350,0.0338,0.0739,0.5433,0.0901,0.3966,0.0544,0.0646,0.2131,0.038981255143880844,0.1320486068725586,0.15280334651470184,0.02284732088446617,0.0589900016784668,0.05167900398373604
cg27274718,0.8861,0.8937,0.8814,0.1424,0.886,0.8757,0.9356,0.8988,0.8747461438179016,0.9186303615570068,0.899214506149292,0.9117074012756348,0.9054200053215027,0.8878780603408813
cg08857351,0.232,0.1917,0.1394,0.2206,0.1682,0.2337,0.1436,0.0768,0.03315826132893562,0.045932888984680176,0.05563667044043541,0.14070981740951538,0.03141000121831894,0.040543995797634125
cg21189611,0.9403,0.953,0.9452,0.9479,0.9454,0.9395,0.9748,0.5314,0.36332014203071594,0.8291576504707336,0.9170070290565491,0.9654979109764099,0.9724400043487549,0.9488030672073364
cg12582317,0.7442,0.9669,0.9648,0.9498,0.9676,0.7142,0.979,0.8526,0.9620777368545532,0.9609196186065674,0.9547714591026306,0.17069408297538757,0.9384899735450745,0.971951961517334
cg07627628,0.9085,0.8946,0.4417,0.8596,0.5999,0.8812,0.9236,0.8676,0.8722975254058838,0.9082398414611816,0.8942492008209229,0.9178850054740906,0.9023299813270569,0.8588060140609741
cg22491927,0.0162,0.1366,0.0247,0.0143,0.0359,0.0165,0.0043,0.0248,0.014258569106459618,0.02441740222275257,0.008538611233234406,0.014067857526242733,0.00139999995008111,0.06981898844242096
cg23403750,0.0839,0.2678,0.9143,0.9072,0.9224,0.4387,0.9074,0.8278,0.9133254885673523,0.9024282693862915,0.8955895900726318,0.06200036033987999,0.9362300038337708,0.8849220275878906
cg05626764,0.0288,0.0361,0.0286,0.0298,0.028,0.0298,0.0157,0.0276,0.01548159122467041,0.5447958707809448,0.025396665558218956,0.022758033126592636,0.015490000136196613,0.1940470039844513
cg15703314,0.8991,0.8856,0.8613,0.3051,0.8278,0.8873,0.9136,0.892,0.8706480264663696,0.9008082747459412,0.8898540139198303,0.9027528166770935,0.9299299716949463,0.8804419636726379
cg25229089,0.912,0.9217,0.9182,0.9027,0.9079,0.8986,0.8654,0.8825,0.8864008784294128,0.901522696018219,0.8949968814849854,0.8843096494674683,0.2699800133705139,0.8292790651321411
cg25650073,0.8694,0.8427,0.8243,0.8484,0.8344,0.8502,0.2394,0.867,0.8615505695343018,0.8804454207420349,0.8464353084564209,0.9001210927963257,0.876579999923706,0.7788389921188354
cg22935149,0.0019,0.0105,0.0059,0.0044,0.0083,0.0054,0.0278,0.012,0.010152063332498074,0.013587398454546928,0.00574222207069397,0.01215678546577692,0.0,0.016597000882029533
cg07482935,0.0077,0.0578,0.012,0.0071,0.0196,0.0058,0.0059,0.0092,0.0070592062547802925,0.015649696812033653,0.0045619443990290165,0.006541072390973568,0.0,0.3778360188007355
cg04894705,0.0533,0.063,0.0623,0.1951,0.0538,0.0556,0.0388,0.3203,0.0896090492606163,0.0976124107837677,0.064665287733078,0.039492327719926834,0.04324999824166298,0.08966799825429916
cg13468144,0.9054,0.9066,0.7695,0.879,0.8788,0.1037,0.9308,0.8602,0.8987510204315186,0.928632378578186,0.9168603420257568,0.9119977951049805,0.9143000245094299,0.9169400334358215
cg16962557,0.9046,0.408,0.8745,0.8649,0.8844,0.8842,0.8962,0.8216,0.8749392032623291,0.9134946465492249,0.8667436242103577,0.8996161222457886,0.9009900093078613,0.8874629735946655
cg20175702,0.0252,0.0358,0.0266,0.0236,0.027,0.028,0.0672,0.0464,0.03186175227165222,0.6358738541603088,0.5094618797302246,0.03201839700341225,0.09442999958992004,0.09472399950027466
cg00767000,0.9291,0.9537,0.9156,0.9492,0.9586,0.9502,0.9548,0.1861,0.0797777771949768,0.039759304374456406,0.05500917136669159,0.8639218211174011,0.0434500016272068,0.32926395535469055
cg05218510,0.945,0.9525,0.9443,0.9331,0.9548,0.9312,0.9753,0.6758,0.947964608669281,0.9495936632156372,0.9343428015708923,0.49478647112846375,0.831059992313385,0.9057170152664185
cg25264268,0.5783,0.8398,0.7933,0.8244,0.844,0.6422,0.806,0.769,0.7743781208992004,0.08159821480512619,0.5840733051300049,0.6842269897460938,0.9300400018692017,0.3871329724788666
cg23695707,0.0076,0.0468,0.0162,0.0099,0.0189,0.008,0.0087,0.2037,0.07041000574827194,0.017682699486613274,0.008054998703300953,0.008070000447332859,0.021239999681711197,0.8594180345535278
cg11358405,0.0212,0.0431,0.55,0.7725,0.5664,0.023,0.0124,0.656,0.15826727449893951,0.29324719309806824,0.12011916190385818,0.024269461631774902,0.8975600004196167,0.22414501011371613
cg00219921,0.8952,0.9091,0.7624,0.8682,0.149,0.8864,0.8839,0.8722,0.8763126134872437,0.925809919834137,0.8788105249404907,0.9072824716567993,0.9163200259208679,0.9094160199165344
cg13449535,0.8571,0.807,0.6523,0.0591,0.5996,0.8388,0.9205,0.4538,0.7128869295120239,0.931631326675415,0.8196037411689758,0.748784065246582,0.6262000203132629,0.6560270190238953
cg18701970,0.8783,0.8753,0.8703,0.7965,0.8842,0.8326,0.4648,0.8224,0.9062326550483704,0.9409347772598267,0.9159450531005859,0.906377375125885,0.9054800271987915,0.8878560066223145
cg18703238,0.0253,0.0305,0.0329,0.0306,0.0432,0.025,0.0288,0.2656,0.5726874470710754,0.46044906973838806,0.5967719554901123,0.022967858240008354,0.007079999893903732,0.3952450156211853
cg03526652,0.824,0.8268,0.8186,0.8134,0.8272,0.7963,0.2727,0.849,0.8413435816764832,0.906015157699585,0.859196662902832,0.8921255469322205,0.861739993095398,0.8153730630874634
cg14283140,0.8532,0.107,0.8004,0.7636,0.809,0.8571,0.8968,0.8316,0.8250553607940674,0.9225447773933411,0.8715388774871826,0.8990631699562073,0.8354799747467041,0.811322033405304
cg22678952,0.0117,0.0132,0.0132,0.0123,0.013,0.0139,0.002,0.0174,0.030439047142863274,0.01545070018619299,0.011532498523592949,0.009049286134541035,0.0006200000061653554,0.44581499695777893
cg16753167,0.9724,0.969,0.9694,0.9692,0.9726,0.9682,0.9737,0.9218,0.9624730944633484,0.881772518157959,0.949908971786499,0.1924687623977661,0.971750020980835,0.9118078947067261
cg20801056,0.0128,0.0108,0.0123,0.0118,0.0119,0.011,0.007,0.021,0.01846904493868351,0.02757079526782036,0.011035001836717129,0.011766785755753517,0.014759999699890614,0.6275490522384644
cg07218880,0.7409,0.3803,0.1549,0.0854,0.1773,0.8049,0.8053,0.3192,0.1268114298582077,0.0954136848449707,0.07437554746866226,0.3480405807495117,0.05962999910116196,0.2597369849681854
cg21252105,0.0607,0.6009,0.7394,0.0922,0.6668,0.0418,0.8615,0.351,0.7161839604377747,0.796268105506897,0.879507303237915,0.016078751534223557,0.02206999994814396,0.8860570788383484
cg11388228,0.915,0.9113,0.9111,0.9291,0.9245,0.9166,0.9653,0.5382,0.8862535357475281,0.947808027267456,0.8566860556602478,0.8683900833129883,0.09911999851465225,0.7073019742965698
cg15978565,0.035,0.0291,0.0295,0.0252,0.0298,0.0911,0.0603,0.0503,0.08287446200847626,0.22926358878612518,0.7684288024902344,0.5602901577949524,0.048190001398324966,0.5821589827537537
cg00151906,0.9644,0.9627,0.9606,0.9654,0.9675,0.9662,0.979,0.9583,0.9644596576690674,0.568458080291748,0.9689788818359375,0.9713792204856873,0.9837300181388855,0.9626390337944031
cg00164282,0.0693,0.0581,0.0426,0.0448,0.0338,0.039,0.8221,0.6961,0.6367214918136597,0.6218355894088745,0.7315586805343628,0.04980660229921341,0.4608199894428253,0.547834038734436
cg22943986,0.0883,0.1655,0.1393,0.1326,0.1814,0.1017,0.0661,0.551,0.02129094861447811,0.04320669546723366,0.019308052957057953,0.12978464365005493,0.7334700226783752,0.4657999873161316
cg16988611,0.7131,0.5591,0.1881,0.5321,0.2221,0.6353,0.7894,0.2529,0.10719826817512512,0.16261698305606842,0.11783555895090103,0.2793574929237366,0.13425999879837036,0.08577599376440048
cg13618516,0.3619,0.9029,0.8968,0.8934,0.9064,0.0948,0.9552,0.8139,0.8901259303092957,0.9245055317878723,0.9088127613067627,0.887854278087616,0.9061599969863892,0.9074190258979797
cg23739746,0.0728,0.1352,0.0071,0.0077,0.0088,0.0975,0.0451,0.5704,0.7950839400291443,0.27501189708709717,0.6697205901145935,0.41870570182800293,0.92221999168396,0.4722209572792053
cg09990440,0.0073,0.0076,0.008,0.0072,0.0071,0.0074,0.0,0.0098,0.009029046632349491,0.017255399376153946,0.005124999675899744,0.007813213393092155,0.004480000119656324,0.006373999174684286
cg02720618,0.0564,0.0642,0.0894,0.0506,0.09,0.0463,0.0275,0.1264,0.041605234146118164,0.101984903216362,0.034497782588005066,0.0664476752281189,0.7767500281333923,0.21619001030921936
cg05418105,0.6358,0.8223,0.919,0.9164,0.9268,0.1481,0.9349,0.8177,0.8528733253479004,0.9198871850967407,0.9054408669471741,0.7507053017616272,0.9227399826049805,0.8197469711303711
cg22051776,0.9561,0.9524,0.9516,0.9563,0.9594,0.9501,0.9764,0.6454,0.953829288482666,0.9714425802230835,0.9565395712852478,0.9663205146789551,0.9873999953269958,0.9542819857597351
cg01574823,0.9305,0.9117,0.9221,0.9121,0.9161,0.9258,0.7927,0.9279,0.9055100679397583,0.8990296125411987,0.8914622068405151,0.4013257324695587,0.9526600241661072,0.7935859560966492
cg16342115,0.0875,0.0202,0.0892,0.085,0.1105,0.092,0.0749,0.5147,0.09869156777858734,0.18999642133712769,0.05020638927817345,0.09895020723342896,0.0994499996304512,0.4600990414619446
cg20275558,0.0434,0.243,0.3928,0.3148,0.4949,0.0594,0.072,0.0455,0.032155074179172516,0.055779390037059784,0.026508057489991188,0.021670537069439888,0.0006399999838322401,0.03457700461149216
cg11105872,0.9394,0.9403,0.9378,0.9254,0.9423,0.9356,0.9732,0.9342,0.919806718826294,0.947091817855835,0.9324725270271301,0.9386162161827087,0.9618300199508667,0.5584419965744019
cg14008571,0.9232,0.9254,0.9157,0.9149,0.9268,0.9209,0.93,0.9118,0.4930846095085144,0.9064821004867554,0.2506241798400879,0.9404550194740295,0.9111899733543396,0.8528009653091431
cg22644163,0.944,0.9523,0.9415,0.9363,0.9447,0.9437,0.98,0.7352,0.9540316462516785,0.9691526293754578,0.9509427547454834,0.935594916343689,0.9440400004386902,0.9305070042610168
cg09595020,0.1198,0.499,0.7402,0.6206,0.7311,0.1669,0.8423,0.4045,0.1281268149614334,0.36295124888420105,0.07498221844434738,0.08830732852220535,0.06300000101327896,0.2245820015668869
cg00300046,0.9273,0.8934,0.3543,0.8937,0.584,0.908,0.9455,0.8863,0.8829042315483093,0.39723682403564453,0.897874116897583,0.9225756525993347,0.8989199995994568,0.8172940015792847
cg02500300,0.0382,0.1023,0.053,0.0393,0.0624,0.0362,0.0206,0.2281,0.03165889531373978,0.06878820061683655,0.03351639211177826,0.03561947122216225,0.01840999908745289,0.033263999968767166
cg04679072,0.0373,0.0444,0.0647,0.0512,0.0578,0.0379,0.0267,0.0363,0.07161270081996918,0.6021905541419983,0.1237877756357193,0.03552446514368057,0.014460000209510326,0.05558399483561516
cg02300584,0.0612,0.0727,0.0668,0.0594,0.067,0.0555,0.0402,0.3732,0.04159634932875633,0.12059518694877625,0.025387777015566826,0.05084304139018059,0.8261299729347229,0.33023500442504883
cg18805457,0.103,0.871,0.8667,0.8771,0.8588,0.1685,0.8696,0.7028,0.8604066371917725,0.9024485945701599,0.8747499585151672,0.6274659037590027,0.8697100281715393,0.8259980082511902
cg16093065,0.9214,0.9072,0.0796,0.2134,0.0942,0.9018,0.8977,0.8711,0.8911662697792053,0.8947395086288452,0.8701580166816711,0.9051457643508911,0.9356099963188171,0.9172069430351257
cg18193482,0.9115,0.9036,0.9037,0.8915,0.8528,0.9051,0.9306,0.8836,0.8824039697647095,0.9377852082252502,0.8952599763870239,0.9273438453674316,0.20799000561237335,0.8681080937385559
cg04271791,0.0307,0.0347,0.0313,0.0284,0.0331,0.0313,0.0284,0.1532,0.04601254314184189,0.07755459100008011,0.04923417046666145,0.025510357692837715,0.5802800059318542,0.06419400870800018
cg04537567,0.0028,0.0185,0.0179,0.0076,0.0216,0.0046,0.0046,0.0054,0.6524649262428284,0.8199894428253174,0.42455023527145386,0.009220713749527931,0.0007699999841861427,0.9377861022949219
cg24008219,0.9186,0.91,0.9142,0.9177,0.9195,0.9033,0.9369,0.8794,0.8196167945861816,0.8355464339256287,0.3496185839176178,0.9164419770240784,0.8754500150680542,0.8825729489326477
cg23099587,0.0396,0.1442,0.2884,0.0942,0.3253,0.0462,0.0351,0.0638,0.04421570897102356,0.7863325476646423,0.8524419665336609,0.08125071972608566,0.043140001595020294,0.12235800176858902
cg20418529,0.9122,0.917,0.9245,0.9155,0.9348,0.9312,0.949,0.3958,0.89144366979599,0.8224682807922363,0.7132580280303955,0.9379512071609497,0.8725299835205078,0.8520849943161011
cg13563119,0.025,0.027,0.0321,0.0428,0.0455,0.0198,0.0171,0.0546,0.20168952643871307,0.05285138636827469,0.08394470810890198,0.019796965643763542,0.018780000507831573,0.286516010761261
cg10300814,0.8363,0.8969,0.8963,0.8811,0.9003,0.8511,0.8968,0.8858,0.33395111560821533,0.9239259958267212,0.8816710710525513,0.892781674861908,0.7537500262260437,0.8538569211959839
cg05280698,0.3459,0.2193,0.1704,0.2839,0.2286,0.3684,0.2828,0.0494,0.02715190313756466,0.06405050307512283,0.023928053677082062,0.20736052095890045,0.0173799991607666,0.03686299920082092
cg07873128,0.8934,0.8646,0.861,0.3732,0.8574,0.8689,0.9161,0.88,0.8714142441749573,0.9293991923332214,0.8999544978141785,0.9373947978019714,0.9034500122070312,0.8690770268440247
cg09645818,0.6714,0.6896,0.2162,0.0452,0.2853,0.7652,0.0536,0.6179,0.5911997556686401,0.9480417370796204,0.9034844636917114,0.901767909526825,0.6731100082397461,0.8420919179916382
cg13613174,0.8862,0.8874,0.6244,0.127,0.4056,0.7481,0.9449,0.8645,0.8860243558883667,0.9367988109588623,0.9117295145988464,0.9162063002586365,0.9169700145721436,0.9021320343017578
cg03407747,0.2793,0.3598,0.4809,0.2695,0.4972,0.265,0.2605,0.1678,0.08273349702358246,0.4513435363769531,0.008884166367352009,0.22770068049430847,0.004339999984949827,0.8620169758796692
cg25568066,0.0519,0.1177,0.0968,0.0838,0.1665,0.051,0.0546,0.111,0.04630238190293312,0.05063939467072487,0.02454555593430996,0.38605374097824097,0.2768099904060364,0.07393499463796616
cg26811065,0.8964,0.837,0.7365,0.8402,0.7584,0.8705,0.0915,0.9032,0.7440520524978638,0.7150603532791138,0.8117974996566772,0.9131832122802734,0.8150500059127808,0.8265129923820496
cg18463607,0.9082,0.848,0.0998,0.3341,0.1064,0.9047,0.9223,0.6244,0.8494575619697571,0.928413987159729,0.8988502025604248,0.8889848589897156,0.8159599900245667,0.819506049156189
cg23069297,0.9739,0.9755,0.9713,0.9688,0.9709,0.9659,0.9861,0.9633,0.9715074300765991,0.5642918348312378,0.9655171632766724,0.9817161560058594,0.9654300212860107,0.9563169479370117
cg25137403,0.0458,0.1128,0.0876,0.0542,0.13,0.0418,0.0141,0.2534,0.015425395220518112,0.03712320327758789,0.013250553980469704,0.026607317849993706,0.04258999973535538,0.11998900026082993
cg11816841,0.0091,0.0145,0.0128,0.014,0.0096,0.0144,0.0062,0.0131,0.010317143052816391,0.2041533887386322,0.26792776584625244,0.009525355882942677,0.00343999988399446,0.07634900510311127
cg03335624,0.1657,0.3952,0.4127,0.2187,0.3426,0.272,0.5017,0.1258,0.02433142252266407,0.17743568122386932,0.030216941609978676,0.05587572604417801,0.03375000134110451,0.09051398932933807
cg01122304,0.0016,0.0015,0.0014,0.0027,0.0022,0.0023,0.0063,0.0042,0.0040404764004051685,0.005642900243401527,0.0030302773229777813,0.0024523211177438498,0.020390000194311142,0.0031460002064704895
cg11236515,0.9798,0.9303,0.1535,0.8898,0.2584,0.9736,0.987,0.9432,0.981318473815918,0.8635284900665283,0.9342671632766724,0.9886789321899414,0.983430027961731,0.9827640652656555
cg05654304,0.0821,0.1722,0.1918,0.0618,0.1839,0.0741,0.0437,0.171,0.0500435009598732,0.7129088044166565,0.06523111462593079,0.5951659083366394,0.05793000012636185,0.287198007106781
cg19344626,0.7086,0.7044,0.9025,0.7444,0.904,0.7281,0.7833,0.6153,0.07929633557796478,0.809207558631897,0.23266638815402985,0.7261974215507507,0.9420700073242188,0.021052999421954155
cg08336478,0.8874,0.9206,0.9209,0.8848,0.9274,0.8866,0.9489,0.721,0.7970731854438782,0.848997175693512,0.7418991923332214,0.04169268161058426,0.87677001953125,0.6841259598731995
cg24108508,0.855,0.8989,0.9024,0.9,0.9174,0.6974,0.0948,0.8741,0.8968035578727722,0.9241969585418701,0.9024854302406311,0.9127062559127808,0.9348700046539307,0.8996800184249878
cg12165551,0.0536,0.8313,0.8163,0.8101,0.8296,0.033,0.806,0.5878,0.8431655764579773,0.7603941559791565,0.797172486782074,0.04360339418053627,0.48930999636650085,0.7761489748954773
cg26510178,0.9488,0.6503,0.9257,0.9302,0.9431,0.9363,0.9757,0.9112,0.9441254138946533,0.9605889320373535,0.9417654871940613,0.962714672088623,0.9590399861335754,0.9320610165596008
cg23812679,0.9092,0.9118,0.9106,0.882,0.8976,0.8742,0.3301,0.7814,0.8701948523521423,0.9248882532119751,0.8353899717330933,0.9088605642318726,0.9461699724197388,0.7263529896736145
cg23655651,0.1726,0.8696,0.8534,0.844,0.8684,0.5557,0.927,0.1324,0.036040157079696655,0.26835331320762634,0.059047214686870575,0.042121607810258865,0.009999999776482582,0.03488699719309807
cg03421440,0.9156,0.9362,0.6495,0.3444,0.5219,0.9022,0.9503,0.9337,0.9443420171737671,0.9718310832977295,0.966821014881134,0.8850135207176208,0.9676499962806702,0.9470799565315247
cg08944236,0.0394,0.1175,0.531,0.0773,0.5644,0.0524,0.0326,0.1226,0.04423174634575844,0.08998169749975204,0.053222786635160446,0.03560107201337814,0.03694000095129013,0.042183998972177505
cg26396815,0.8906,0.9042,0.8626,0.88,0.877,0.8416,0.228,0.799,0.8783278465270996,0.9130531549453735,0.8696463108062744,0.9026376605033875,0.8266800045967102,0.6593259572982788
cg25644321,0.9146,0.9124,0.9112,0.9023,0.9168,0.8992,0.884,0.7663,0.06603509187698364,0.8838511109352112,0.8699655532836914,0.8540616631507874,0.7413600087165833,0.6385440230369568
cg02027123,0.9311,0.9348,0.9341,0.9289,0.9336,0.9396,0.9333,0.9024,0.43337899446487427,0.9126513600349426,0.8965280055999756,0.9021185040473938,0.9624000191688538,0.6356079578399658
cg10218510,0.9467,0.9494,0.9131,0.9134,0.9214,0.9389,0.967,0.6957,0.9269717335700989,0.9682982563972473,0.9136731624603271,0.9635266065597534,0.3266800045967102,0.747001051902771
cg08550353,0.029,0.1668,0.5801,0.1635,0.6642,0.0418,0.0297,0.127,0.0892392098903656,0.26273009181022644,0.02112138830125332,0.01520446501672268,0.15357999503612518,0.2241239994764328
cg14076977,0.0038,0.0038,0.0077,0.0046,0.0054,0.0057,0.0025,0.563,0.9337396025657654,0.9626427292823792,0.9013669490814209,0.023029999807476997,0.8804600238800049,0.9484940767288208
cg09554701,0.9054,0.9097,0.9207,0.9021,0.9226,0.9087,0.8798,0.8697,0.7754368185997009,0.8365105986595154,0.19033031165599823,0.8825024962425232,0.9004899859428406,0.888543963432312
cg19136632,0.0164,0.0174,0.0152,0.0571,0.0173,0.0137,0.0183,0.2328,0.19756051898002625,0.29336920380592346,0.6686475276947021,0.018802853301167488,0.45375001430511475,0.2821660041809082
cg25517015,0.1207,0.8916,0.83,0.8481,0.835,0.6679,0.8939,0.8592,0.8780527710914612,0.6980544924736023,0.8287234306335449,0.7234457731246948,0.9291499853134155,0.8608399629592896
cg21426759,0.8712,0.8952,0.8649,0.8694,0.8576,0.2042,0.9282,0.8614,0.8414566516876221,0.9315589666366577,0.8959868550300598,0.9091975092887878,0.8645200133323669,0.8375499844551086
cg17542408,0.0248,0.1129,0.0682,0.0336,0.0799,0.0293,0.0253,0.246,0.09244239330291748,0.6348802447319031,0.03466055542230606,0.3736669421195984,0.1618099957704544,0.1482129991054535
cg01126567,0.0319,0.1897,0.0628,0.0344,0.1101,0.0308,0.0073,0.038,0.022433491423726082,0.02963540144264698,0.02365138940513134,0.03440464287996292,0.019220000132918358,0.04075699672102928
cg27318546,0.0298,0.0682,0.0644,0.0471,0.0547,0.034,0.0198,0.0946,0.07171586900949478,0.2997565269470215,0.07212582975625992,0.030704643577337265,0.5522300004959106,0.08291099965572357
cg13703737,0.9468,0.9635,0.9534,0.9332,0.9431,0.9507,0.9757,0.9315,0.8365766406059265,0.7609431743621826,0.4694250524044037,0.9389330744743347,0.9805399775505066,0.7506620287895203
cg20205877,0.0121,0.0129,0.017,0.0128,0.0129,0.0092,0.0203,0.0254,0.015950320288538933,0.02630489319562912,0.025688890367746353,0.046948570758104324,0.0,0.02729799970984459
cg00806239,0.6402,0.4157,0.73,0.6845,0.7411,0.6782,0.7949,0.4843,0.5346974730491638,0.32641297578811646,0.5596828460693359,0.6355944275856018,0.20303000509738922,0.03852200135588646
cg20007245,0.0483,0.0461,0.0456,0.0538,0.0723,0.0496,0.0339,0.0341,0.045657455921173096,0.07352158427238464,0.04644722118973732,0.02264767698943615,0.30011001229286194,0.07742200046777725
cg02238826,0.0333,0.0402,0.0363,0.0334,0.0302,0.0278,0.0306,0.0538,0.04027635231614113,0.580367922782898,0.037966664880514145,0.02890964038670063,0.03822999820113182,0.17688900232315063
cg27641801,0.913,0.9168,0.9084,0.9105,0.917,0.9088,0.9324,0.9174,0.23615427315235138,0.9163000583648682,0.8626022338867188,0.9244614243507385,0.9020100235939026,0.8993770480155945
cg18584387,0.0284,0.0855,0.0557,0.3322,0.0721,0.0318,0.0297,0.0946,0.02745635434985161,0.04465840011835098,0.04362833499908447,0.04914749786257744,0.06384000182151794,0.042239002883434296
cg07050712,0.8761,0.8794,0.7691,0.8496,0.842,0.8611,0.0896,0.8672,0.8756283521652222,0.892412006855011,0.8500567078590393,0.859650194644928,0.9447000026702881,0.8202720880508423
cg08659179,0.7245,0.5662,0.518,0.5368,0.5081,0.7123,0.7653,0.1654,0.05445823818445206,0.07909271121025085,0.04580138996243477,0.46856626868247986,0.06307999789714813,0.09420399367809296
cg13523236,0.9459,0.9497,0.9283,0.6098,0.9077,0.9269,0.9688,0.8564,0.9497137665748596,0.9024671912193298,0.9342110753059387,0.9385121464729309,0.9774699807167053,0.9423320889472961
cg04416111,0.817,0.5605,0.6176,0.7966,0.5876,0.8044,0.9253,0.3269,0.10238619148731232,0.26068487763404846,0.7455097436904907,0.8340534567832947,0.0,0.18420599400997162
cg05495949,0.011,0.0843,0.0221,0.0122,0.0368,0.0086,0.0055,0.0188,0.00856444425880909,0.018882209435105324,0.010355832986533642,0.012444643303751945,0.007960000075399876,0.011606000363826752
cg07362569,0.0409,0.0451,0.1026,0.0513,0.072,0.0461,0.0358,0.0578,0.4926814138889313,0.3766990900039673,0.5539314150810242,0.03538643196225166,0.04010000079870224,0.2427229881286621
cg14747132,0.5233,0.4596,0.3158,0.4821,0.3039,0.5716,0.6574,0.3848,0.254447340965271,0.8799824714660645,0.7196224927902222,0.4295666515827179,0.17087000608444214,0.03342699632048607
cg05089897,0.88,0.8531,0.8994,0.8622,0.9104,0.2893,0.8731,0.852,0.8885147571563721,0.8125917315483093,0.8830483555793762,0.8944835662841797,0.9101499915122986,0.8946069478988647
cg13364558,0.8278,0.0618,0.7578,0.7823,0.7399,0.8727,0.9051,0.8074,0.8193941116333008,0.7875450849533081,0.7378047108650208,0.8705247640609741,0.7806100249290466,0.8684549331665039
cg00579036,0.0456,0.0465,0.0422,0.0482,0.0444,0.0457,0.0471,0.075,0.6532949805259705,0.23189379274845123,0.6979615688323975,0.04193250089883804,0.0509600006043911,0.23441100120544434
cg22277485,0.8953,0.873,0.2702,0.7023,0.4305,0.8636,0.9222,0.8751,0.8631893396377563,0.9167723059654236,0.8103172779083252,0.9069150686264038,0.8878700137138367,0.8398799896240234
cg02027263,0.899,0.27,0.8977,0.8591,0.8969,0.8944,0.9304,0.8685,0.8771724104881287,0.8533921837806702,0.8707425594329834,0.8610725998878479,0.9030500054359436,0.8783769607543945
cg14313833,0.9031,0.9164,0.9002,0.8841,0.8861,0.8894,0.8259,0.76,0.191009059548378,0.8809102773666382,0.7821926474571228,0.8936623334884644,0.7535600066184998,0.7973930239677429
cg13252710,0.9674,0.9666,0.9656,0.9678,0.9674,0.9634,0.9763,0.7936,0.9629746675491333,0.9070838689804077,0.976323664188385,0.9787645936012268,0.9243199825286865,0.927219033241272
cg14431850,0.9025,0.8985,0.8729,0.8717,0.88,0.8878,0.8789,0.7513,0.23858192563056946,0.8816587924957275,0.7144241333007812,0.8872232437133789,0.7623199820518494,0.813662052154541
cg13079571,0.7151,0.8906,0.8795,0.8776,0.8916,0.1722,0.9258,0.7934,0.8648442029953003,0.9083224534988403,0.8942320942878723,0.7750850915908813,0.9033899903297424,0.7744990587234497
cg05942963,0.0113,0.0114,0.0089,0.0085,0.0099,0.013,0.0385,0.0129,0.010383015498518944,0.020023295655846596,0.015141947194933891,0.008637678809463978,0.05609000101685524,0.014900000765919685
cg00259404,0.1023,0.8824,0.8851,0.8607,0.8916,0.0989,0.9069,0.7936,0.8751482367515564,0.75706946849823,0.8854490518569946,0.5470960736274719,0.8921700119972229,0.8601110577583313
cg18588499,0.9532,0.9626,0.9542,0.9515,0.9602,0.9234,0.9704,0.9304,0.956375241279602,0.980867862701416,0.9699904322624207,0.9672607183456421,0.9664199948310852,0.7396199703216553
cg10372921,0.2875,0.458,0.8045,0.4165,0.8402,0.3612,0.2114,0.2724,0.01806475780904293,0.63138747215271,0.0252974983304739,0.20681463181972504,0.02483000047504902,0.33295199275016785
cg02842227,0.0111,0.1178,0.0202,0.0205,0.0792,0.0044,0.0044,0.0178,0.006515397224575281,0.010594197548925877,0.003088055644184351,0.007826605811715126,0.008050000295042992,0.02235100045800209
cg27249422,0.0086,0.0108,0.0124,0.0087,0.0103,0.01,0.007,0.106,0.5539707541465759,0.08217361569404602,0.4568030536174774,0.01091803703457117,0.012090000323951244,0.40665799379348755
cg15896356,0.8895,0.8824,0.8961,0.9052,0.9093,0.893,0.8884,0.8964,0.8836814165115356,0.9109514355659485,0.8952227830886841,0.2733353078365326,0.9498800039291382,0.8947380185127258
cg03214217,0.7756,0.6622,0.7104,0.7505,0.771,0.7684,0.8538,0.5285,0.16689427196979523,0.7720496654510498,0.17777058482170105,0.05498409643769264,0.5673400163650513,0.4351540207862854
cg26874999,0.8562,0.8677,0.8481,0.8699,0.8866,0.7958,0.9139,0.7736,0.07233890146017075,0.8699217438697815,0.6378443837165833,0.8424022793769836,0.7345600128173828,0.6886340379714966
cg05101437,0.045,0.0657,0.1975,0.0476,0.1856,0.0418,0.074,0.0726,0.03998412936925888,0.3161466121673584,0.712233304977417,0.04140875115990639,0.030419999733567238,0.04374000430107117
cg14481222,0.0283,0.0388,0.0331,0.0368,0.0352,0.0339,0.0132,0.0462,0.11995920538902283,0.348941832780838,0.49898475408554077,0.04356750100851059,0.05931999906897545,0.2651900053024292
cg15443535,0.9395,0.938,0.932,0.9357,0.9389,0.9347,0.9589,0.4848,0.06307650357484818,0.033385396003723145,0.01183722261339426,0.6114305853843689,0.03454999998211861,0.6159900426864624
cg26162331,0.8836,0.8856,0.867,0.5306,0.8461,0.8797,0.9484,0.8638,0.8853635787963867,0.9417533278465271,0.8990492224693298,0.120293028652668,0.9123299717903137,0.8244889378547668
cg08420572,0.026,0.0754,0.0976,0.0377,0.1446,0.0231,0.0139,0.456,0.21577346324920654,0.08188289403915405,0.1646622270345688,0.07085392624139786,0.030309999361634254,0.2989250123500824
