,UCSC_RefGene_Name,UCSC_RefGene_Accession,UCSC_RefGene_Group,UCSC_CpG_Islands_Name,Relation_to_UCSC_CpG_Island,Enhancer,Regulatory_Feature_Name,Regulatory_Feature_Group,GeneSymbol,in_signature
cg18278184,SRGN,NM_002727,TSS1500,nan,nan,nan,10:70847334-70848080,Promoter_Associated,SRGN,False
cg06644051,C7orf52,NM_198571,Body,chr7:100815484-100816995,Island,nan,nan,nan,C7orf52,False
cg06537894,MAST1,NM_014975,Body,chr19:12978359-12978785,Island,nan,19:12977916-12978933,Unclassified,MAST1,False
cg02776664,MAST1,NM_014975,Body,chr19:12978359-12978785,Island,nan,19:12977916-12978933,Unclassified,MAST1,True
cg00683332,nan,nan,nan,chr16:51183699-51188763,Island,nan,nan,nan,nan,False
cg08305551,MAST1,NM_014975,Body,chr19:12978359-12978785,Island,nan,19:12977916-12978933,Unclassified,MAST1,True
cg14904662,ANK1;ANK1;ANK1;ANK1;ANK1,NM_020476;NM_020477;NM_000037;NM_020475;NM_001142446,TSS1500;TSS1500;TSS1500;TSS1500;Body,chr8:41654875-41655984,Island,True,8:41654959-41655898,Unclassified_Cell_type_specific,ANK1,False
cg26996175,nan,nan,nan,chr11:57243681-57244463,Island,nan,11:57244392-57245156,Gene_Associated,nan,False
cg00447052,SCRT1,NM_031309,3'UTR,chr8:145555342-145562310,Island,nan,nan,nan,SCRT1,False
cg13634242,nan,nan,nan,chr5:60921534-60922472,Island,True,5:60921859-60922358,Unclassified_Cell_type_specific,nan,False
cg16683160,LOC339524,NR_026989,Body,chr1:87617692-87617986,Island,True,1:87616817-87618300,Unclassified,LOC339524,False
cg07985890,NEAT1,NR_028272,Body,chr11:65190824-65191058,Island,nan,11:65188622-65191947,Promoter_Associated,NEAT1,True
cg27268352,nan,nan,nan,nan,nan,True,nan,nan,nan,False
cg11998932,SDK1,NM_152744,Body,nan,nan,True,7:3901816-3901968,Unclassified_Cell_type_specific,SDK1,False
cg19904122,BRUNOL5,NM_021938,Body,chr19:3285856-3286121,Island,nan,nan,nan,BRUNOL5,False
cg15778054,KCTD14,NM_023930,TSS200,nan,nan,nan,nan,nan,KCTD14,False
cg04646987,TRIO,NM_007118,Body,nan,nan,nan,nan,nan,TRIO,True
cg04246763,LOC339524,NR_026989,Body,chr1:87617692-87617986,Island,True,1:87616817-87618300,Unclassified,LOC339524,False
cg27557378,DNASE1L2,NM_001374,5'UTR,chr16:2286600-2288073,Island,True,16:2286157-2288043,Unclassified_Cell_type_specific,DNASE1L2,True
cg04879832,CYBA;CYBA,NM_000101;NM_000101,1stExon;5'UTR,chr16:88716989-88717606,Island,nan,16:88717379-88718141,Promoter_Associated,CYBA,True
cg22843803,nan,nan,nan,nan,nan,True,nan,nan,nan,False
cg24161057,TSTD1;TSTD1;TSTD1,NM_001113206;NM_001113205;NM_001113207,TSS200;TSS200;TSS200,chr1:161008377-161008830,Island,nan,1:161008079-161009395,Promoter_Associated,TSTD1,True
cg16769152,KCTD14,NM_023930,1stExon,nan,nan,nan,nan,nan,KCTD14,False
cg13906823,TSTD1;TSTD1;TSTD1,NM_001113206;NM_001113205;NM_001113207,TSS200;TSS200;TSS200,chr1:161008377-161008830,Island,nan,1:161008079-161009395,Promoter_Associated,TSTD1,True
cg00329300,TSTD1;TSTD1;TSTD1,NM_001113207;NM_001113205;NM_001113206,Body;Body;Body,chr1:161008377-161008830,Island,nan,1:161008079-161009395,Promoter_Associated,TSTD1,False
cg07580591,nan,nan,nan,chr15:68851826-68852208,N_Shore,True,15:68851172-68853185,Unclassified,nan,False
cg04569837,nan,nan,nan,chr5:60921534-60922472,Island,True,nan,nan,nan,False
cg12426196,TSTD1;TSTD1;TSTD1,NM_001113206;NM_001113205;NM_001113207,TSS200;TSS200;TSS200,chr1:161008377-161008830,Island,nan,1:161008079-161009395,Promoter_Associated,TSTD1,True
cg10978355,RNU5E;RNU5D;CKMT2;CKMT2;CKMT2,NR_002754;NR_002755;NM_001099736;NM_001099735;NM_001825,Body;Body;5'UTR;5'UTR;5'UTR,nan,nan,True,nan,nan,RNU5E,False
cg27180868,TSTD1;TSTD1;TSTD1;TSTD1;TSTD1;TSTD1,NM_001113205;NM_001113207;NM_001113207;NM_001113205;NM_001113206;NM_001113206,5'UTR;1stExon;5'UTR;1stExon;1stExon;5'UTR,chr1:161008377-161008830,Island,nan,1:161008079-161009395,Promoter_Associated,TSTD1,True
cg12536502,MIR330;EML2,NR_029886;NM_012155,TSS1500;TSS200,chr19:46144872-46145631,N_Shelf,nan,19:46141903-46142954,Promoter_Associated,MIR330,True
cg07804711,MIR330;EML2;EML2,NR_029886;NM_012155;NM_012155,TSS1500;1stExon;5'UTR,chr19:46144872-46145631,N_Shelf,nan,19:46141903-46142954,Promoter_Associated,MIR330,True
cg00530492,HCG9,NR_028032,Body,chr6:29944402-29945169,N_Shore,True,6:29942984-29943793,Unclassified_Cell_type_specific,HCG9,False
cg10951120,KCNB1,NM_004975,TSS200,chr20:48098512-48099560,Island,nan,20:48099028-48099732,Unclassified_Cell_type_specific,KCNB1,True
cg16399136,nan,nan,nan,chr1:151103685-151106100,Island,nan,1:151103243-151104239,Unclassified_Cell_type_specific,nan,False
cg22798707,ELAVL2;ELAVL2;ELAVL2,NM_001171195;NM_001171197;NM_004432,TSS1500;TSS1500;5'UTR,chr9:23822412-23822667,Island,nan,nan,nan,ELAVL2,False
cg09675196,C11orf20,NM_001039496,TSS200,chr11:64066757-64068741,Island,nan,11:64067750-64068871,Unclassified,C11orf20,True
cg17206850,nan,nan,nan,chr11:62693373-62694772,Island,nan,11:62693381-62694382,Unclassified_Cell_type_specific,nan,False
cg25728685,ZSCAN12,NR_028077,Body,chr6:28351122-28351441,Island,True,6:28351023-28351302,Gene_Associated,ZSCAN12,True
cg16072192,nan,nan,nan,chr5:2738953-2741237,Island,nan,nan,nan,nan,False
cg04623837,HCG9,NR_028032,Body,chr6:29944402-29945169,N_Shore,True,6:29942984-29943793,Unclassified_Cell_type_specific,HCG9,False
cg13115683,HCG9,NR_028032,Body,chr6:29944402-29945169,N_Shore,True,6:29942984-29943793,Unclassified_Cell_type_specific,HCG9,False
cg25324047,nan,nan,nan,chr10:22764708-22767050,Island,True,nan,nan,nan,False
cg23244913,HCG9,NR_028032,Body,chr6:29944402-29945169,N_Shore,True,6:29942984-29943793,Unclassified_Cell_type_specific,HCG9,False
cg09166519,nan,nan,nan,chr12:103344398-103344640,Island,True,nan,nan,nan,False
cg17639394,HCG9,NR_028032,Body,chr6:29944402-29945169,N_Shore,True,6:29942984-29943793,Unclassified_Cell_type_specific,HCG9,False
cg18786593,nan,nan,nan,chr2:157176251-157177346,S_Shore,nan,nan,nan,nan,False
cg02578087,C3orf32,NM_015931,Body,nan,nan,nan,3:8671114-8671626,Unclassified_Cell_type_specific,C3orf32,True
cg12749132,LOC100132111;C2CD4D,NR_024237;NM_001136003,Body;Body,chr1:151810460-151811684,Island,nan,nan,nan,LOC100132111,False
